# id|main|method|difficulty|hard prerequisites(;)|secondary(;)|task groups(/),observable steps(;)|structural family|variant|local alternatives(;)|dependencies|review note
09C24|高响应比优先调度|按调度优先级公式识别考虑因素|1|进程等待与服务时间|-|比较各调度算法优先依据;识别同时包含等待和执行时间的指标|HRRN_PRIORITY|等待时间与服务时间综合调度|-|-|-
09C25|同类资源死锁的数量条件|构造各进程均差一个资源的极端状态|2|死锁资源条件|-|计算每进程未满足最大需求时可占资源;检查资源能否全部占尽;求可能死锁的最少进程数|IDENTICAL_RESOURCE_DEADLOCK|打印机竞争与每进程最大需求|-|-|-
09C26|分区存储的地址保护|检查进程有效地址范围|1|分区存储管理|-|识别越界访问风险;匹配界限地址保护机制|MEMORY_BOUNDS_PROTECTION|分区分配主要保护措施|-|-|-
09C27|段式地址的最大段长|从地址长度扣除段号位数|1|段号与段内偏移|-|分解逻辑地址字段;由段内偏移位数求可寻址范围|SEGMENT_OFFSET_CAPACITY|固定位长分段地址|-|-|-
09C28|文件物理组织特性|对比随机定位与扩展代价|1|连续链式索引分配|-|比较各结构随机访问能力;检查扩展是否需要连续空间;匹配双重需求|FILE_ALLOCATION_TRADEOFF|随机访问且易于增长的文件|-|-|-
09C29|SCAN磁盘调度顺序|按当前方向服务后反向扫描|1|磁盘调度|-|按磁道号划分当前位置两侧请求;按方向排序服务;再处理反向请求|SCAN_REQUEST_ORDER|给定当前磁头与移动方向|-|-|-
09C30|文件控制块的存取控制信息|将文件权限归入文件管理元数据|1|文件控制块|-|区分文件描述元数据与分配表用途;定位访问控制信息|FCB_ACCESS_CONTROL|文件权限信息存储位置|-|-|旧考点inode过窄，主任务实际为FCB信息分类
09C31|硬链接与符号链接的引用计数|分别追踪独立链接文件和共享索引结点|2|文件链接;引用计数|-|区分软链接独立对象与硬链接共享对象;依次更新创建删除后的计数|FILE_LINK_REFERENCE_COUNT|建立两类链接后删除原文件名|-|-|原解析声称访问失效软链接会自动删除并不普遍成立，不采用该叙述
09C32|设备独立性与逻辑设备名|区分用户接口和物理映射标识|1|设备独立性|-|识别系统调用面向的设备命名层次;区分逻辑设备与物理设备号|LOGICAL_DEVICE_NAMING|打开设备时使用的标识|-|-|-
09C33|OSI层次的端到端服务|比较相邻节点服务与进程间服务|1|OSI分层|-|区分各层通信端点;定位最先提供端到端服务的层次|OSI_END_TO_END|按自下而上寻找服务层|-|-|-
09C34|无噪声信道的数据率上限|调制状态数与奈奎斯特公式结合|1|奈奎斯特定理;每码元信息量|-|计算相位和幅度组合状态数;换算每码元比特数;求数据率上限|NYQUIST_MODULATION_RATE|QAM相位与幅度组合|-|-|-
09C35|GBN累计确认与重传|由最高累计确认确定未确认后缀|1|GBN协议;累计确认|-|识别累计确认覆盖的帧范围;从首个未确认帧确定超时重传集合|GBN_CUMULATIVE_RETRANSMIT|中间确认丢失而后续确认到达|-|-|-
09C36|以太网交换机转发依据|按数据链路层帧目的地址查表|1|以太网帧;交换机|-|辨别帧层次与网络层地址;匹配转发决策的目的地址|ETHERNET_FORWARD_ADDRESS|交换机PDU转发字段|-|-|-
09C37|CSMA/CD最小帧长与网络直径|发送时延不得短于往返传播时延|2|传播时延;碰撞检测|-|建立最小帧发送时间与争用期关系;比较帧长变化对应传播范围变化;统一单位|CSMA_MIN_FRAME_DIAMETER|帧长减少求最小距离缩减|-|-|-
09C38|TCP字节序号与累计确认号|累加连续收到的有效载荷长度|1|TCP字节编号|-|从首字节序号定位连续数据末端;确定下一期待字节编号|TCP_CONTIGUOUS_ACK|两个连续段不同载荷长度|-|-|-
09C39|TCP超时后的拥塞窗口演化|重置窗口与门限后按RTT推进|2|慢开始;拥塞避免|-|按超时事件设置状态;分阶段逐RTT更新窗口;处理到达门限时的增长切换|TCP_TIMEOUT_WINDOW|超时后连续多个成功RTT|-|-|-
09C40|FTP控制连接|区分可靠控制通道与数据通道|1|FTP;TCP可靠传输|-|识别命令传递通道;匹配其传输层协议|FTP_CONTROL_CHANNEL|FTP命令所用连接|-|-|-
09A41|贪心最短路径策略的正确性|构造局部选择不保证全局最优的反例|3|带权路径;算法正确性|-|判断给定贪心策略是否保证目标/构造符合非负权和可达条件的反例;比较策略行为与要求以支撑结论|GREEDY_PATH_COUNTEREXAMPLE|每步选择当前点最近未访问邻居|构造贪心路径陷入死路而目标原本可达的反例|1>2|本地有明确评分项，按原文分值保留，不把题型误标为Dijkstra计算
09A42|单链表倒数第k结点的线性时间查找|固定间距双指针一趟扫描|3|链表遍历;指针边界|-|描述双指针间距不变量/给出初始化推进及越界判断步骤/实现不改链表的查找;处理失败返回与成功输出;说明时间空间开销|LINKED_KTH_FROM_END|仅给带头结点单链表头指针|先统计长度再二次扫描定位;递归回溯定位倒数位置;以辅助存储保存结点后定位|1>2;2>3|评分说明为条件分档上限，不能将15分与10分相加；一般答题提示不作为正式保证给分规则
09A43|中断与DMA的CPU开销比较|计算服务频率与单次开销后归一化|2|CPU频率与CPI;传输单位换算|中断与DMA工作方式|计算每次中断所用时钟周期;由吞吐率和传输宽度求中断频率;计算每秒中断总周期;归一化CPU时间占比/计算DMA块传输频率;计算DMA预后处理总周期;归一化CPU时间占比|IO_CPU_OVERHEAD|中断按字传输与DMA按块传输|-|-|本地给出7项可累加分值及仅给结果时的条件评分上限
09A44|单总线数据通路的微操作控制|按取数运算写回阶段安排控制信号|3|寄存器传送;总线冲突|指令寻址|解析指令操作数与写回目标;按图安排逐拍数据流;列出各拍必要使能与存储器信号;检查资源冲突|DATAPATH_MICROOPERATIONS|寄存器与间接访存操作数相加写内存|重排取数与寄存器准备使独立传送同拍执行|-|-
09A45|分类消费者的同步与互斥|容量信号量加分类计数与互斥锁|3|信号量P与V;临界区|-|区分容量互斥和两类就绪条件;定义信号量含义与初值;安排生产和分类消费操作;避免持锁等待和遗漏资源释放|SEMAPHORE_TYPED_CONSUMERS|共享有界缓冲的奇偶分类消费者|-|-|-
09A46|带TLB和缺页置换的地址访问|逐次模拟页状态并累计访问开销|3|分页地址分解;LRU置换|TLB命中与缺页|分解每次虚地址页号和偏移;跟踪TLB与页表状态;累计命中缺失和缺页重启时间/依据访问历史确定被换出页框;将新页框与偏移合成物理地址|PAGING_TLB_TRACE|固定驻留集局部LRU与缺页重执行|-|1>2|-
09A47|CIDR子网划分与路由表设计|按主机需求定前缀并配置特定与汇总路由|3|IPv4前缀;路由转发|路由聚合|按主机数量确定子网前缀并给出合法分配/据拓扑填写直连主机和默认路由;核对下一跳及接口/求共同前缀并给出可聚合路径|CIDR_ROUTING_AGGREGATION|两个LAN经两路由器访问DNS和互联网| -|1>2;1>3|解析正文将两个LAN接口都写为E1，但拓扑与路由表列为E1和E2；标签以图表结构为依据
